TEAM : Ecuador,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Hernán Galíndez,(1987-03-30)30 March 1987 (aged 35),12,0,Aucas
2,2DF,Félix Torres,(1997-01-11)11 January 1997 (aged 25),17,2,Santos Laguna
3,2DF,Piero Hincapié,(2002-01-09)9 January 2002 (aged 20),21,1,Bayer Leverkusen
4,2DF,Robert Arboleda,(1991-10-22)22 October 1991 (aged 31),33,2,São Paulo
5,3MF,José Cifuentes,(1999-03-12)12 March 1999 (aged 23),11,0,Los Angeles FC
6,2DF,William Pacho,(2001-10-16)16 October 2001 (aged 21),0,0,Antwerp
7,2DF,Pervis Estupiñán,(1998-01-21)21 January 1998 (aged 24),28,3,Brighton & Hove Albion
8,3MF,Carlos Gruezo,(1995-04-19)19 April 1995 (aged 27),46,1,FC Augsburg
9,3MF,Ayrton Preciado,(1994-07-17)17 July 1994 (aged 28),27,3,Santos Laguna
10,3MF,Romario Ibarra,(1994-09-24)24 September 1994 (aged 28),25,3,Pachuca
11,4FW,Michael Estrada,(1996-04-07)7 April 1996 (aged 26),36,8,Cruz Azul
12,1GK,Moisés Ramírez,(2000-09-09)9 September 2000 (aged 22),2,0,Independiente del Valle
13,4FW,Enner Valencia*(captain)*,(1989-11-04)4 November 1989 (aged 33),74,35,Fenerbahçe
14,2DF,Xavier Arreaga,(1994-09-28)28 September 1994 (aged 28),18,1,Seattle Sounders FC
15,3MF,Ángel Mena,(1988-01-21)21 January 1988 (aged 34),46,7,León
16,3MF,Jeremy Sarmiento,(2002-06-16)16 June 2002 (aged 20),9,0,Brighton & Hove Albion
17,2DF,Ángelo Preciado,(1998-02-18)18 February 1998 (aged 24),24,0,Genk
18,2DF,Diego Palacios,(1999-07-12)12 July 1999 (aged 23),12,0,Los Angeles FC
19,3MF,Gonzalo Plata,(2000-11-01)1 November 2000 (aged 22),30,5,Valladolid
20,3MF,Sebas Méndez,(1997-04-26)26 April 1997 (aged 25),32,0,Los Angeles FC
21,3MF,Alan Franco,(1998-08-21)21 August 1998 (aged 24),25,1,Talleres
22,1GK,Alexander Domínguez,(1987-06-05)5 June 1987 (aged 35),68,0,LDU Quito
23,3MF,Moisés Caicedo,(2001-11-02)2 November 2001 (aged 21),25,2,Brighton & Hove Albion
24,4FW,Djorkaeff Reasco,(1999-01-18)18 January 1999 (aged 23),4,0,Newell's Old Boys
25,2DF,Jackson Porozo,(2000-08-04)4 August 2000 (aged 22),5,0,Troyes
26,4FW,Kevin Rodríguez,(2000-03-04)4 March 2000 (aged 22),1,0,Imbabura
,,,,,,
TEAM : Netherlands,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Remko Pasveer,(1983-11-08)8 November 1983 (aged 39),2,0,Ajax
2,2DF,Jurriën Timber,(2001-06-17)17 June 2001 (aged 21),10,0,Ajax
3,2DF,Matthijs de Ligt,(1999-08-12)12 August 1999 (aged 23),38,2,Bayern Munich
4,2DF,Virgil van Dijk*(captain)*,(1991-07-08)8 July 1991 (aged 31),49,6,Liverpool
5,2DF,Nathan Aké,(1995-02-18)18 February 1995 (aged 27),29,3,Manchester City
6,2DF,Stefan de Vrij,(1992-02-05)5 February 1992 (aged 30),59,3,Internazionale
7,4FW,Steven Bergwijn,(1997-10-08)8 October 1997 (aged 25),24,7,Ajax
8,4FW,Cody Gakpo,(1999-05-07)7 May 1999 (aged 23),9,3,PSV Eindhoven
9,4FW,Luuk de Jong,(1990-08-27)27 August 1990 (aged 32),38,8,PSV Eindhoven
10,4FW,Memphis Depay,(1994-02-13)13 February 1994 (aged 28),81,42,Barcelona
11,3MF,Steven Berghuis,(1991-12-19)19 December 1991 (aged 30),39,2,Ajax
12,4FW,Noa Lang,(1999-06-17)17 June 1999 (aged 23),5,1,Club Brugge
13,1GK,Justin Bijlow,(1998-01-22)22 January 1998 (aged 24),6,0,Feyenoord
14,3MF,Davy Klaassen,(1993-02-21)21 February 1993 (aged 29),35,9,Ajax
15,3MF,Marten de Roon,(1991-03-29)29 March 1991 (aged 31),30,0,Atalanta
16,2DF,Tyrell Malacia,(1999-08-17)17 August 1999 (aged 23),6,0,Manchester United
17,2DF,Daley Blind,(1990-03-09)9 March 1990 (aged 32),94,2,Ajax
